assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,3,0,1,1,90,8,0,0,0,0,1,0,10,True,0
0,0,1,0,0,90,16,0,0,0,0,2,0,3,False,0
0,0,0,0,0,47,11,0,0,0,0,3,0,1,True,0
0,2,0,1,1,90,3,0,0,0,0,4,0,9,False,0
0,1,0,4,1,90,1,0,0,0,0,5,0,8,True,0
0,0,0,5,0,90,9,0,0,0,0,6,0,2,False,0
0,0,0,2,0,90,4,0,0,0,0,7,0,2,True,0
0,0,0,6,0,90,2,0,0,0,0,8,0,1,False,1
0,0,0,2,0,90,14,0,0,0,0,9,0,2,True,0
0,0,0,0,0,0,18,0,0,0,0,10,0,0,False,0
1,3,1,0,1,65,13,0,0,0,0,11,0,14,True,0
0,0,0,3,0,90,15,0,0,0,0,12,0,2,False,0
0,0,0,1,0,90,19,0,0,0,0,13,0,2,True,0
0,0,0,1,0,90,12,0,0,0,0,14,0,2,False,0
1,1,0,3,1,90,5,0,0,0,0,15,0,10,True,1
0,0,0,3,0,83,17,0,0,0,0,16,0,2,False,0
0,0,0,1,0,90,20,0,0,0,0,17,0,2,False,0
0,0,0,3,0,90,10,0,0,0,0,18,0,2,True,0
0,3,0,2,1,90,6,0,0,0,0,19,0,10,True,0
0,3,0,3,1,90,19,0,0,0,0,20,0,10,False,0
1,0,0,1,0,75,2,0,0,0,0,21,0,5,True,0
0,0,0,0,0,0,4,0,0,0,0,22,0,0,False,0
0,0,0,1,0,27,10,0,0,0,0,23,0,1,True,0
1,0,0,1,0,90,13,0,0,0,0,24,0,5,False,0
0,0,0,1,0,86,19,0,0,0,0,25,0,2,True,0
0,0,0,1,0,64,18,0,0,0,0,26,0,2,False,0
0,0,0,2,0,90,4,0,0,0,0,27,0,2,True,0
0,0,0,1,0,33,2,0,0,0,0,28,0,1,False,0
0,0,0,1,0,73,8,0,0,0,0,29,0,2,True,0
0,0,0,1,0,65,7,0,0,0,0,30,0,2,False,0
0,0,0,3,0,45,1,0,0,0,0,31,0,1,False,0
1,0,1,0,0,70,16,0,0,0,0,32,0,6,True,0
1,0,0,1,0,80,15,0,0,0,0,33,0,5,False,0
0,0,0,0,0,0,6,0,0,0,0,34,0,0,True,0
0,0,0,0,0,11,14,0,0,0,0,35,0,1,False,0
0,0,0,0,0,7,17,0,0,0,0,36,0,1,True,0
0,0,0,0,0,14,9,0,0,0,0,37,0,1,True,0
0,0,0,1,0,83,3,0,0,0,0,38,0,2,False,00,0,0,0,0,0,12,0,0,0,0,1,0,0,False,0
0,0,0,0,0,0,14,0,0,0,0,2,0,0,False,0
0,0,0,0,0,0,13,0,0,0,0,3,0,0,False,0
0,0,0,0,0,0,8,0,0,0,0,4,0,0,True,0
0,0,0,0,0,0,19,0,0,0,0,5,0,0,False,0
0,0,0,0,0,0,17,0,0,0,0,6,0,0,True,0
0,0,0,0,0,0,16,0,0,0,0,7,0,0,True,0
0,0,0,0,0,0,4,0,0,0,0,8,0,0,False,0
0,0,0,0,0,0,3,0,0,0,0,9,0,0,True,0
0,0,0,0,0,0,6,0,0,0,0,10,0,0,False,0
0,0,0,0,0,0,10,0,0,0,0,11,0,0,True,0
0,0,0,0,0,0,18,0,0,0,0,12,0,0,False,0
0,0,0,0,0,0,9,0,0,0,0,13,0,0,True,0
0,0,0,0,0,0,7,0,0,0,0,14,0,0,False,0
0,0,0,0,0,0,11,0,0,0,0,15,0,0,False,0
0,0,0,0,0,0,5,0,0,0,0,16,0,0,True,0
0,0,0,0,0,0,1,0,0,0,0,17,0,0,True,0
0,0,0,0,0,0,15,0,0,0,0,18,0,0,False,0
0,0,0,0,0,0,13,0,0,0,0,19,0,0,True,0
0,0,0,0,0,0,2,0,0,0,0,20,0,0,False,0
0,0,0,0,0,0,19,0,0,0,0,22,0,0,True,0
0,0,0,0,0,0,17,0,0,0,0,22,0,0,False,0
0,0,0,0,0,0,8,0,0,0,0,23,0,0,False,0
0,0,0,0,0,0,2,0,0,0,0,24,0,0,True,0
0,0,0,0,0,0,6,0,0,0,0,25,0,0,True,0
0,0,0,0,0,0,3,0,0,0,0,26,0,0,False,0
0,0,0,0,0,0,18,0,0,0,0,27,0,0,True,0
0,0,0,0,0,0,10,0,0,0,0,28,0,0,False,0
